Name,Party,Riding,Province,Status,ElectionNum
"COUTURE, Gisèle ",Co-operative Commonwealth Federation,MERCIER,Quebec,0,24
"CREWE, Dorothy Jane ",Liberal,HAMILTON WEST,Ontario,0,24
"CRYDERMAN, Hilda ",Liberal,OKANAGAN--REVELSTOKE,British Columbia,0,24
"CUREATZ, Dorothy ",Social Credit Party of Canada,SPADINA,Ontario,0,24
"DACOSTA, Elena Murdock ",Liberal,YORK--HUMBER,Ontario,0,24
"FAIRCLOUGH, Ellen Louks ",Progressive Conservative,HAMILTON WEST,Ontario,1,24
"GOUGH, Grace ",Social Credit Party of Canada,CARLETON,Ontario,0,24
"GRUBE, Gwenyth ",Co-operative Commonwealth Federation,EGLINTON,Ontario,0,24
"OLIVER, Marjorie ",Liberal,WATERLOO SOUTH,Ontario,0,24
"PARTRICK, Nina ",Liberal,WINNIPEG NORTH,Manitoba,0,24
"SARK, Rose ",Co-operative Commonwealth Federation,YORK WEST,Ontario,0,24
"SHRADER, Sadie A. ",Liberal,RED DEER,Alberta,0,24
"SIGEN, Elva R. ",Co-operative Commonwealth Federation,YORK--SCARBOROUGH,Ontario,0,24
"SOMERS, Inez ",Liberal,GREENWOOD,Ontario,0,24
"THOMPSON, Margot ",Co-operative Commonwealth Federation,ST. PAUL'S,Ontario,0,24
"WHITTON, Charlotte ",Progressive Conservative,OTTAWA WEST,Ontario,0,24
"WIGGENS, Thora Elizabeth ",Co-operative Commonwealth Federation,PRINCE ALBERT,Saskatchewan,0,24
"ZAZEYBIDA, Nancy ",Co-operative Commonwealth Federation,VEGREVILLE,Alberta,0,24
"AITKEN, Margaret ",Progressive Conservative,YORK--HUMBER,Ontario,0,25
"CASGRAIN, Thérèse-F. ",New Democratic Party,OUTREMONT--ST-JEAN,Quebec,0,25
"CASSELMAN, Jean ",Progressive Conservative,GRENVILLE--DUNDAS,Ontario,1,25
"CLARKE, Phyllis ",Communist Party of Canada,DAVENPORT,Ontario,0,25
"COOKSON, Rose ",New Democratic Party,LINCOLN,Ontario,0,25
"COUTTS, Eileen ",New Democratic Party,DURHAM,Ontario,0,25
"DOUGLAS, Jean ",Progressive Conservative,NIAGARA FALLS,Ontario,0,25
"ERICKSON, Margaret ",New Democratic Party,VANCOUVER CENTRE,British Columbia,0,25
"EVERETT, Myrtle ",Social Credit Party of Canada,NEW WESTMINSTER,British Columbia,0,25
"FAIRCLOUGH, Ellen L. ",Progressive Conservative,HAMILTON WEST,Ontario,1,25
"GAUTHIER, Mary ",Progressive Conservative,TIMMINS,Ontario,0,25
"GOUGH, Grace Catherine A. ",Social Credit Party of Canada,GRENVILLE--DUNDAS,Ontario,0,25
"HALL, Aileen ",New Democratic Party,ONTARIO,Ontario,0,25
"HARDIE, I.J. Tibbie ",Liberal,NORTHWEST TERRITORIES,Northwest Territories,1,25
"JEWETT, Pauline ",Liberal,NORTHUMBERLAND,Ontario,0,25
"KONANTZ, Margaret ",Liberal,WINNIPEG SOUTH,Manitoba,0,25
"LAMARSH, Judy ",Liberal,NIAGARA FALLS,Ontario,1,25
"MACDONALD, Margaret Mary ",Progressive Conservative,KING'S,Prince Edward Island,1,25
"MATTHEWS, Florence ",New Democratic Party,CHURCHILL,Manitoba,0,25
"MERCIER, Lilianne ",Liberal,CHAPLEAU,Quebec,0,25
"PATTERSON, Alyce M. ",Social Credit Party of Canada,VICTORIA--CARLETON,New Brunswick,0,25
"PELLERIN, Edouardine ",Progressive Conservative,SAINT-MAURICE--LAFLÈCHE,Quebec,0,25
"PIDRUCHNEY, Anna ",Independent,VEGREVILLE,Alberta,0,25
"SHIPLEY, Ann ",Liberal,TIMISKAMING,Ontario,0,25
"VIEN-BEAUDET, Liliane ",Social Credit Party of Canada,LAURIER,Quebec,0,25
"BALL, Marjorie ",New Democratic Party,STORMONT,Ontario,0,25
"BARNETT, Sybil ",New Democratic Party,PORTAGE--NEEPAWA,Manitoba,0,26
"CASGRAIN, Thérèse-F. ",New Democratic Party,OUTREMONT--ST-JEAN,Quebec,0,26
"CASSELMAN, Jean ",Progressive Conservative,GRENVILLE--DUNDAS,Ontario,1,26
"CHONG, Gladys Guy ",Progressive Conservative,VANCOUVER EAST,British Columbia,0,26
"COOKSON, Rose ",New Democratic Party,LINCOLN,Ontario,0,26
"COUTTS, Eileen Ethel ",New Democratic Party,DURHAM,Ontario,0,26
"DEARBORN, Dorothy ",Liberal,ROYAL,New Brunswick,0,26
"DINELLE, Réjeanne ",New Democratic Party,SAINT-DENIS,Quebec,0,26
"DOUGLAS, Jean ",Progressive Conservative,NIAGARA FALLS,Ontario,0,26
"ELSOM, Margaret ",Social Credit Party of Canada,OXFORD,Ontario,0,26
"ERICKSON, Margaret ",New Democratic Party,VANCOUVER CENTRE,British Columbia,0,26
"FAIRCLOUGH, Ellen L. ",Progressive Conservative,HAMILTON WEST,Ontario,0,26
"FEE, Hazel ",Social Credit Party of Canada,COMOX--ALBERNI,British Columbia,0,26
"FORREST, Kathleen ",New Democratic Party,BRANDON--SOURIS,Manitoba,0,26
"GOBEIL, Estelle ",Progressive Conservative,COMPTON--FRONTENAC,Quebec,0,26
"GOUGH, Grace C.A. ",Social Credit Party of Canada,KINGSTON,Ontario,0,26
"HALL, Aileen ",New Democratic Party,ONTARIO,Ontario,0,26
"HARDIE, I.J. Tibbie ",Liberal,NORTHWEST TERRITORIES,Northwest Territories,0,26
"JEWETT, Pauline ",Liberal,NORTHUMBERLAND,Ontario,1,26
"KONANTZ, Margaret ",Liberal,WINNIPEG SOUTH,Manitoba,1,26
"LAMARSH, Judy ",Liberal,NIAGARA FALLS,Ontario,1,26
"MACDONALD, Margaret Mary ",Progressive Conservative,KING'S,Prince Edward Island,0,26
"MACODRUM, Frances D. ",Progressive Conservative,LEEDS,Ontario,0,26
