"ID","name","exitDataSet","lastElection","termsServed","finalVotePct","Party","needGhostRow"
7309,"LEFRANCOIS, J. Eugene",1,"1953-08-10",1,70.15,"Lib",1
7314,"HEES, George",1,"1962-06-18",4,40.74,"P.C.",1
7321,"CRESTOHL, Leon David",1,"1962-06-18",4,49.28,"Lib",1
7324,"MCMILLAN, William H.",1,"1963-04-08",5,55.27,"Lib",1
7331,"DINSDALE, Walter",1,"1980-02-18",11,46.87,"P.C.",1
7337,"NICKLE, Carl O.",1,"1953-08-10",1,41.85,"P.C.",1
7340,"ROBICHAUD, Hedard J.",1,"1965-11-08",5,60.61,"Lib",1
7341,"MONTGOMERY, Gage W.",1,"1958-03-31",3,59.98,"P.C.",1
7349,"DESLIERES, Joseph Leon",1,"1957-06-10",2,51.82,"Lib",1
7355,"BOURQUE, Romuald",1,"1962-06-18",4,47.08,"Lib",1
7360,"CARDIN, Louis Joseph Lucien",1,"1965-11-08",6,60.4,"Lib",1
7417,"BARNETT, Tom",1,"1972-10-30",1,49.68,"N.D.P.",1
7425,"PATTERSON, Alex",1,"1980-02-18",3,49.71,"P.C.",1
7438,"CAMERON, Colin",1,"1968-06-25",3,41.71,"N.D.P.",1
7457,"WINCH, Harold Edward",1,"1968-06-25",6,50.02,"N.D.P.",1
7522,"MICHAUD, Herve J.",1,"1958-03-31",2,55.09,"Lib",1
7536,"PICKERSGILL, John W.",1,"1965-11-08",5,73.28,"Lib",1
7546,"HARDIE, M.A.",1,"1958-03-31",2,57.22,"Lib",1
7560,"MORRIS, Edmund",1,"1962-06-18",2,23.12,"P.C.",1
7562,"MACEACHEN, Allan J.",1,"1980-02-18",7,50.4,"Lib",1
7581,"HABEL, Joseph Anaclet",1,"1965-11-08",5,40.86,"Lib",1
7621,"GRILLS, Lee",1,"1968-06-25",1,49.07,"P.C.",1
7633,"STANTON, Hayden",1,"1958-03-31",2,58.09,"P.C.",1
7644,"HOUCK, William L.",1,"1958-03-31",2,45.77,"Lib",1
7664,"NESBITT, Wally",1,"1972-10-30",7,62.53,"P.C.",1
7672,"MONTEITH, J. Waldo",1,"1968-06-25",6,48.52,"P.C.",1
7678,"FORGIE, James Moffat",1,"1963-04-08",4,49.64,"Lib",1
7684,"RYNARD, P.B.",1,"1974-07-08",7,40.22,"P.C.",1
7694,"MITCHELL, Rodger",1,"1965-11-08",5,44.65,"Lib",1
7711,"HALES, Alfred Dryden",1,"1972-10-30",6,53.1,"P.C.",1
7713,"HOWE, Marvin",1,"1968-06-25",6,44.44,"P.C.",1
7758,"ROULEAU, Guy",1,"1963-04-08",4,57.88,"Lib",1
7771,"CARON, Alexis",1,"1965-11-08",5,54.68,"Lib",1
7802,"DESCHATELETS, Jean Paul",1,"1963-04-08",4,48.89,"Lib",1
7807,"THIBAULT, Leandre",1,"1957-06-10",1,51.67,"Lib",1
7931,"LEDUC, Rodolphe",1,"1963-04-08",4,46.64,"Lib",1
7954,"VAN HORNE, Joseph Charles",1,"1958-03-31",2,56.15,"P.C.",1
7957,"LAFLAMME, Ovide",1,"1972-10-30",2,46.33,"Lib",1
7964,"REA, Charles E.",1,"1958-03-31",2,50.16,"P.C.",1
7968,"MENARD, J. Armand",1,"1957-06-10",1,52.32,"Lib",1
7980,"SMALLWOOD, Clifford S.",1,"1965-11-08",3,57.87,"P.C.",1
